0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2015-03-10,5038.26,5290.97,5247.26,5189.03,5211.21,5896.28,6722.3,7207.2,7591.12,7579.62,8258.7,7148.24,6637.68,7097.91,7399.22,7888.2,9399.58,9473.24,8521.59,7930.99,7268.2,6539.21,5919.13,5286.45
2015-03-11,5174.63,5302.55,5260.56,5152.68,5142.87,6133.72,6799.72,7295.5,7492.32,7634.23,8142.38,7084.59,6684.46,6820.84,7454.89,7930.41,9475.12,9377.53,8454.23,7819.24,7302.21,6397.2,5973.13,5380.94
2015-03-12,5369.55,5263.8,5221.83,5254.12,5274.31,6271.54,6881.7,7561.58,7474.33,7492.63,8322.88,6887.19,6616.23,7211.11,7219.94,7576.57,9358.76,9493.93,8830.73,7912.65,7610.03,6503.16,6075.06,5626.49
2015-03-13,5440.99,5276.26,5293.62,5187.74,5206.72,6047.3,7024.93,7182.62,7574.22,7939.66,8229.52,7275.36,6880.58,7286.87,7269.64,7891.15,9379.23,9538.35,8855.99,7990.69,7562.05,6762.08,6024.31,5401.03
2015-03-16,5236.04,5110.25,5164.25,4935.69,4915.3,6106.25,6770.67,7101.11,7853.54,7867.27,8410.87,7486.84,7173.56,7414.98,7669.94,8022.97,9415.34,9688.55,9105.01,8193.02,7837.25,6873.51,6360.74,5781.21
2015-03-17,5805.347,5681.987,5545.607,5665.496,5671.308,6438.951,7078.676,7518.287,8094.576,8201.57,8695.593,7880.131,7446.669,7948.501,8017.809,8246.624,9205.507,9802.186,9667.687,8510.927,8179.054,7378.69,6610.298,6141.843
2015-03-18,6064.581,5860.924,5782.984,5742.74,5813.344,5931.101,6945.708,7469.393,7612.361,8052.728,8288.247,8264.294,7632.672,7790.836,8026.708,8003.186,8477.176,9837.381,9840.708,9155.067,8205.279,7978.3,7204.795,6866.511
2015-03-19,6092.556,6037.139,5910.555,5843.973,5975.482,6953.097,7062.153,7599.378,8114.213,8154.331,8640.56,7678.03,7262.675,7893.91,8104.964,8422.563,9103.36,9979.126,9439.058,8654.329,8290.811,7535.359,6745.214,6275.958
2015-03-20,6170.119,5903.781,5945.493,5935.579,5802.115,6783.141,7184.96,7706.525,7910.512,8190.856,8811.329,7761.632,7338.846,7914.721,8032.665,8280.84,9153.522,9370.655,9282.547,8150.851,8045.335,7363.636,7038.855,6242.148
2015-03-23,5730.58,5457.543,5546.832,5494.65,5820.057,6775.138,7061.629,7698.261,7741.104,7581.274,8269.448,7093.93,6613.017,7181.09,7686.114,8076.888,9086.585,9603.493,8345.343,7924.727,7228.458,6860.27,6210.66,5973.625
2015-03-24,6571.513,6228.48,6109.04,6479.256,5949.676,6451.464,7167.317,7650.765,7942.932,8030.96,8306.547,6869.986,6573.124,7019.484,7414.724,8277.482,8753.626,9825.653,8879.456,8017.189,7576.619,6640.75,6244.54,5462.001
2015-03-25,5271.918,5288.925,5160.422,5030.055,4967.634,5845.056,6208.78,6501.498,7263.709,7542.341,7842.818,6765.093,6520.097,6953.147,7313.346,7636.51,8846.562,9234.779,9027.945,7919.963,7616.937,6975.207,6781.828,6125.889
2015-03-26,5646.396,5616.496,5529.876,5384.041,5604.911,6445.023,7037.181,7381.053,7711.989,8030.107,8531.662,7264.978,6734.01,7378.208,7585.341,7914.154,9313.03,9565.162,9086.805,7960.209,7677.484,7061.548,6476.734,5842.832
2015-03-27,5671.837,5683.669,5511.216,5538.707,5526.304,6500.659,6853.336,7365.424,7605.409,7828.328,7870.771,7140.187,6645.275,7333.732,7694.723,8128.816,9273.443,9194.364,9064.808,7905.785,7785.334,7457.104,6511.143,5763.409
2015-03-30,5431.261,5215.8,5330.55,5268.646,5470.994,6641.096,6557.516,7594.788,7536.603,7781.809,8627.174,7715.219,7120.013,7809.117,8185.563,8447.795,8769.244,9445.436,9307.216,8902.256,8178.139,7403.821,6926.756,6011.75
2015-03-31,6151.669,6066.004,5895.288,6078.856,6137.24,7077.12,7229.265,7398.441,8158.163,8198.411,8616.511,7892.191,7663.147,7936.76,8310.169,8374.963,9082.592,9476.996,9446.628,8491.466,8246.787,7514.548,6816.622,6499.379
2015-04-01,6280.779,6129.081,6370.046,6027.776,6004.173,7027.394,7222.496,7804.91,8186.354,8413.56,8939.529,7930.082,7662.88,8205.054,8398.067,8661.451,9192.165,9536.756,9604.742,8561.668,8424.287,7757.075,7045.332,6454.85
2015-04-02,6473.405,6347.154,6198.04,6177.171,6077.255,7082.741,7142.844,7906.224,8280.15,8669.231,9048.861,7963.514,7893.976,8436.733,8639.856,8890.095,9383.767,9546.301,9541.569,8687.128,8383.478,7896.068,7195.734,6794.363
2015-04-03,6552.885,6486.047,6335.073,6278.527,6322.668,7023.187,7314.726,8035.909,8457.969,8831.065,9076.703,8379.965,8281.689,8561.011,8860.206,9036.575,9382.345,9478.483,9535.905,8860.301,8649.201,8083.258,7626.963,7041.549
2015-04-06,6160.132,5966.976,5965.152,5916.051,6139.255,6699.517,6967.508,8011.636,8570.918,8681.175,8943.895,7993.679,7759.723,8299.741,8344.316,8558.712,9516.393,9519.529,9142.803,8432.042,8221.029,7541.679,6974.025,6523.57
2015-04-07,6224.739,6234.702,6258.199,6285.057,6168.29,6657.181,7099.406,7982.76,8282.198,8218.159,8423.761,7991.87,7903.161,7992.595,8250.724,8439.152,9270.351,9398.189,9230.558,8401.969,8147.809,7532.703,6828.482,6217.191
2015-04-08,6103.353,6083.929,6053.626,5958.792,5838.309,6657.765,7078.993,7499.794,7749.661,7828.737,7997.783,6972.814,6777.77,7284.887,7593.386,7146.045,9161.337,9273.353,8482.556,7770.905,7514.484,6768.874,6247.75,6134.117
2015-04-09,5696.4,5526.861,5602.95,5659.107,5897.378,7023.021,7110.406,7631.368,7725.45,7881.849,8216.191,7203.639,6870.257,7428.406,7673.762,8196.879,9439.439,9808.249,9100.082,7982.087,7602.482,7006.241,6381.524,5861.747
2015-04-10,5719.609,5511.705,5467.715,5433.605,5415.702,6482.958,6784.748,7190.786,7560.627,7739.105,8100.496,7006.928,6655.052,7201.01,7355.148,7796.397,9045.328,9360.193,8650.508,7866.628,7468.817,6871.64,6163.032,5724.771
2015-04-13,5220.178,5178.356,5189.061,5070.269,5340.098,6133.372,6504.218,7031.184,7528.655,7908.74,8039.993,7397.359,6888.796,7166.254,7602.718,7785.537,8676.997,9059.972,9449.936,8308.075,7640.015,7188.238,6468.058,5944.609
2015-04-14,5719.892,5574.563,5671.489,5525.73,5673.919,6793.49,6805.341,7350.494,7766.266,8039.181,8175.143,7156.096,6986.135,7566.118,7842.698,7988.465,8636.206,9231.4,9438.978,8195.433,7817.117,6912.379,6425.978,5975.642
2015-04-15,5820.483,5840.491,5710.856,5889.061,5758.412,6828.482,6933.18,7506.943,7862.816,8160.245,8228.629,7388.845,7092.705,7731.491,8171.81,8283.22,8846.709,9355.413,9470.746,8320.01,7920.5,7448.043,6972.938,6131.733
2015-04-16,5948.603,5905.379,5868.041,5794.487,5922.543,6722.983,7010.535,7605.516,7960.301,8236.925,8451.049,7268.111,7077.945,7745.619,8035.336,8336.18,9157.916,9588.789,9032.394,8273.871,7957.465,7214.011,6620.291,6183.661
2015-04-17,6018.996,5860.922,5840.099,5842.049,6167.79,6899.859,7078.5,7801.931,8083.133,8285.404,8413.945,7363.513,7099.597,7786.465,8176.653,8615.652,9448.232,9635.833,9389.512,8354.712,8032.326,7408.547,6829.097,6235.715
2015-04-20,6630.327,6402.789,6248.468,6209.443,6346.989,6622.4,7205.601,8035.127,8919.234,9201.662,9328.319,8723.962,8569.047,9037.362,9284.006,9357.349,9621.152,9757.605,9724.325,9079.25,8989.454,8461.469,8143.379,7483.28
2015-04-21,6717.61,6558.547,6449.667,6358.676,6356.342,6785.228,7051.496,7470.387,8020.772,8389.475,8471.533,7741.254,7502.707,7685.512,8277.034,8301.179,8982.786,9271.43,9052.552,8493.026,8142.576,7618.583,6750.845,6281.006
